"Rate Date","Currency","Rate Year","Rate Month","Buying Rate","Central Rate","Selling Rate"
"12/1/2020","SWISS FRANC","2020","November","415.8894","416.4381","416.9867",
"11/20/2020","US DOLLAR","2020","November","379","379.5","380",
"11/20/2020","POUNDS STERLING","2020","November","503.1983","503.8622","504.526",
"11/20/2020","EURO","2020","November","450.0246","450.6183","451.212",
"11/20/2020","SWISS FRANC","2020","November","415.7525","416.301","416.8495",
"11/20/2020","YEN","2020","November","3.6509","3.6557","3.6605",
"11/20/2020","CFA","2020","November","0.6645","0.6745","0.6845",
"11/20/2020","WAUA","2020","November","538.7171","539.4278","540.1385",
"11/20/2020","YUAN/RENMINBI","2020","November","57.7031","57.7797","57.8563",
"11/20/2020","RIYAL","2020","November","101.0532","101.1865","101.3198",
"11/20/2020","SOUTH AFRICAN RAND","2020","November","24.6904","24.723","24.7555",
"11/20/2020","DANISH KRONA","2020","November","60.3974","60.4771","60.5568",
"11/20/2020","SDR","2020","November","539.4307","540.1424","540.854",
"11/19/2020","US DOLLAR","2020","November","379","379.5","380",
"11/19/2020","POUNDS STERLING","2020","November","502.5161","503.1791","503.842",
"11/19/2020","EURO","2020","November","448.736","449.328","449.92",
"11/19/2020","SWISS FRANC","2020","November","415.5246","416.0728","416.621",
"11/19/2020","YEN","2020","November","3.6425","3.6473","3.6521",
"11/19/2020","CFA","2020","November","0.6674","0.6774","0.6874",
"11/19/2020","WAUA","2020","November","539.5006","540.2124","540.9241",
"11/19/2020","YUAN/RENMINBI","2020","November","57.4991","57.5754","57.6518",
"11/19/2020","RIYAL","2020","November","101.0532","101.1865","101.3198",
"11/19/2020","SOUTH AFRICAN RAND","2020","November","24.453","24.4853","24.5176",
"11/19/2020","DANISH KRONA","2020","November","60.2218","60.3013","60.3807",
"11/19/2020","SDR","2020","November","540.3024","541.0152","541.728",
"11/18/2020","US DOLLAR","2020","November","379","379.5","380",
"11/18/2020","US DOLLAR","2020","November","379","379.5","380",
"11/18/2020","POUNDS STERLING","2020","November","503.1983","503.8622","504.526",
"11/18/2020","EURO","2020","November","449.9867","450.5804","451.174",
"11/18/2020","YEN","2020","November","3.6446","3.6494","3.6542",
"11/18/2020","CFA","2020","November","0.6674","0.6774","0.6874",
"11/18/2020","WAUA","2020","November","539.5006","540.2124","540.9241",
"11/18/2020","YUAN/RENMINBI","2020","November","57.8281","57.9049","57.9816",
"11/18/2020","RIYAL","2020","November","101.0505","101.1838","101.3198",
"11/18/2020","SOUTH AFRICAN RAND","2020","November","24.6434","24.6759","24.7084",
"11/18/2020","DANISH KRONA","2020","November","60.3772","60.4569","60.5365",
"11/18/2020","SDR","2020","November","538.7485","539.4593","540.17",
"11/17/2020","US DOLLAR","2020","November","379","379.5","380",
"11/17/2020","POUNDS STERLING","2020","November","502.8572","503.5206","504.184",
"11/17/2020","EURO","2020","November","450.252","450.846","451.44",
"11/17/2020","SWISS FRANC","2020","November","416.392","416.9413","417.4907",
"11/17/2020","YEN","2020","November","3.6365","3.6413","3.6461",
"11/17/2020","CFA","2020","November","0.6644","0.6744","0.6844",
"11/17/2020","WAUA","2020","November","538.0547","538.7646","539.4744",
"11/17/2020","YUAN/RENMINBI","2020","November","57.8299","57.9067","57.9834",
"11/17/2020","RIYAL","2020","November","101.0505","101.1838","101.3171",
"11/17/2020","SOUTH AFRICAN RAND","2020","November","24.6401","24.6727","24.7052",
"11/17/2020","DANISH KRONA","2020","November","60.4408","60.5205","60.6003",
"11/17/2020","SDR","2020","November","538.7485","539.4593","540.17",
"11/16/2020","US DOLLAR","2020","November","379","379.5","380",
"11/16/2020","POUNDS STERLING","2020","November","500.1663","500.8262","501.486",
"11/16/2020","EURO","2020","November","448.8876","449.4798","450.072",
"11/16/2020","SWISS FRANC","2020","November","414.7062","415.2533","415.8004",
"11/16/2020","YEN","2020","November","3.6126","3.6174","3.6222",
"11/16/2020","CFA","2020","November","0.6622","0.6722","0.6822",
"11/16/2020","WAUA","2020","November","537.1275","537.8361","538.5447",
"11/16/2020","YUAN/RENMINBI","2020","November","57.5402","57.6165","57.6929",
"11/16/2020","RIYAL","2020","November","101.0505","101.1838","101.3171",
"11/16/2020","SOUTH AFRICAN RAND","2020","November","24.6373","24.6698","24.7023",
"11/16/2020","DANISH KRONA","2020","November","60.264","60.3435","60.423",
"11/16/2020","SDR","2020","November","538.1042","538.8141","539.524",
"11/13/2020","US DOLLAR","2020","November","379","379.5","380",
"11/13/2020","POUNDS STERLING","2020","November","498.9535","499.6118","500.27",
"11/13/2020","EURO","2020","November","447.8264","448.4172","449.008",
"11/13/2020","SWISS FRANC","2020","November","413.9814","414.5276","415.0737",
"11/13/2020","YEN","2020","November","3.6099","3.6146","3.6194",
"11/13/2020","CFA","2020","November","0.6622","0.6722","0.6822",
"11/13/2020","WAUA","2020","November","537.1275","537.8361","538.5447",
"11/13/2020","YUAN/RENMINBI","2020","November","57.3105","57.3865","57.4626",
"11/13/2020","RIYAL","2020","November","101.0505","101.1838","101.3171",
"11/13/2020","SOUTH AFRICAN RAND","2020","November","24.1942","24.2261","24.2581",
"11/13/2020","DANISH KRONA","2020","November","60.1272","60.2066","60.2859",
"11/13/2020","SDR","2020","November","537.8389","538.5485","539.258",
"11/12/2020","US DOLLAR","2020","November","379","379.5","380",
"11/12/2020","POUNDS STERLING","2020","November","498.9156","499.5738","500.232",
"11/12/2020","EURO","2020","November","447.6748","448.2654","448.856",
"11/12/2020","SWISS FRANC","2020","November","414.2982","414.8448","415.3913",
"11/12/2020","YEN","2020","November","3.5968","3.6016","3.6063",
"11/12/2020","CFA","2020","November","0.6607","0.6707","0.6807",
"11/12/2020","WAUA","2020","November","536.7565","537.4646","538.1727",
"11/12/2020","YUAN/RENMINBI","2020","November","57.249","57.325","57.4009",
"11/12/2020","RIYAL","2020","November","101.0505","101.1838","101.3171",
"11/12/2020","SOUTH AFRICAN RAND","2020","November","24.1924","24.2243","24.2562",
"11/12/2020","DANISH KRONA","2020","November","60.1272","60.2066","60.2859",
"11/12/2020","SDR","2020","November","537.4599","538.169","538.878",
"11/11/2020","US DOLLAR","2020","November","379","379.5","380",
"11/11/2020","POUNDS STERLING","2020","November","502.7435","503.4068","504.07",
"11/11/2020","EURO","2020","November","446.083","446.6715","447.26",
"11/11/2020","SWISS FRANC","2020","November","412.8091","413.3537","413.8983",
"11/11/2020","YEN","2020","November","3.5934","3.5982","3.6029",
"11/11/2020","CFA","2020","November","0.6631","0.6731","0.6831",
"11/11/2020","WAUA","2020","November","537.4794","538.1885","538.8976",
"11/11/2020","YUAN/RENMINBI","2020","November","57.2222","57.2981","57.3741",
"11/11/2020","RIYAL","2020","November","101.0505","101.1838","101.3171",
"11/11/2020","SOUTH AFRICAN RAND","2020","November","24.2064","24.2384","24.2703",
"11/11/2020","DANISH KRONA","2020","November","59.9228","60.0019","60.081",
"11/11/2020","SDR","2020","November","538.18","538.89","539.6",
"11/10/2020","US DOLLAR","2020","November","379","379.5","380",
"11/10/2020","POUNDS STERLING","2020","November","502.6677","503.3309","503.994",
"11/10/2020","EURO","2020","November","447.2958","447.8859","448.476",
"11/10/2020","SWISS FRANC","2020","November","413.7555","414.3013","414.8472",
"11/10/2020","YEN","2020","November","3.6013","3.606","3.6108",
"11/10/2020","CFA","2020","November","0.6675","0.6775","0.6875",
"11/10/2020","WAUA","2020","November","539.3266","540.0381","540.7496",
"11/10/2020","YUAN/RENMINBI","2020","November","57.3235","57.3995","57.4756",
"11/10/2020","RIYAL","2020","November","101.0505","101.1838","101.3171",
"11/10/2020","SOUTH AFRICAN RAND","2020","November","24.4908","24.5231","24.5554",
"11/10/2020","DANISH KRONA","2020","November","60.0691","60.1484","60.2276",
"11/10/2020","SDR","2020","November","540.0371","540.7496","541.462",
"11/9/2020","US DOLLAR","2020","November","379","379.5","380",
"11/9/2020","POUNDS STERLING","2020","November","499.1051","499.7636","500.422",
"11/9/2020","EURO","2020","November","450.631","451.2255","451.82",
"11/9/2020","SWISS FRANC","2020","November","420.5504","421.1052","421.66",
"11/9/2020","YEN","2020","November","3.6372","3.642","3.6468",
"11/9/2020","CFA","2020","November","0.6667","0.6767","0.6867",
"11/9/2020","WAUA","2020","November","539.1032","539.8144","540.5256",
"11/9/2020","YUAN/RENMINBI","2020","November","57.5848","57.6612","57.7376",
"11/9/2020","RIYAL","2020","November","101.0505","101.1838","101.3171",
"11/9/2020","SOUTH AFRICAN RAND","2020","November","24.5552","24.5876","24.62",
"11/9/2020","DANISH KRONA","2020","November","60.4813","60.5611","60.6409",
"11/9/2020","SDR","2020","November","539.8097","540.5219","541.234",
"11/6/2020","US DOLLAR","2020","November","379","379.5","380",
"11/6/2020","POUNDS STERLING","2020","November","497.7786","498.4353","499.092",
"11/6/2020","EURO","2020","November","450.2141","450.8081","451.402",
"11/6/2020","SWISS FRANC","2020","November","420.8773","421.4325","421.9878",
"11/6/2020","YEN","2020","November","3.67","3.6748","3.6797",
"11/6/2020","CFA","2020","November","0.657","0.667","0.677",
"11/6/2020","WAUA","2020","November","534.7618","535.4673","536.1728",
"11/6/2020","YUAN/RENMINBI","2020","November","57.3599","57.436","57.5121",
"11/6/2020","RIYAL","2020","November","101.0505","101.1838","101.3171",
